SL NO.,Date,Year,Month,Month No.,Q-P1,S-P1,Price Per Product1,Q-P2,S-P2,Price Per Product2,Q-P3,S-P3,Price Per Product3,Q-P4,S-P4,Price Per Product4,Total Units Sold,Total Revenue,Quarter,Day Name,Rev/Unit,Top Product,Revenue Category,YoY Growth Flag
11,2010-06-23,2010,Jun,6,1287,4079.79,3.17,3955,25074.7,6.34,2710,14688.2,5.42,1804,12862.52,7.13,9756,56705.21,Q2,Wednesday,5.812342148,Product2,Medium,Growth Year
12,2010-06-24,2010,Jun,6,2197,6964.49,3.17,1429,9059.86,6.34,2754,14926.68,5.42,1299,9261.87,7.13,7679,40212.9,Q2,Thursday,5.236736554,Product3,Medium,Growth Year
13,2010-06-25,2010,Jun,6,7910,25074.7,3.17,1622,10283.48,6.34,5574,30211.08,5.42,306,2181.78,7.13,15412,67751.04,Q2,Friday,4.395992733,Product3,Medium,Growth Year
14,2010-06-26,2010,Jun,6,3855,12220.35,3.17,1015,6435.1,6.34,1746,9463.32,5.42,608,4335.04,7.13,7224,32453.81,Q2,Saturday,4.492498616,Product1,Low,Growth Year
15,2010-06-27,2010,Jun,6,5988,18981.96,3.17,3288,20845.92,6.34,916,4964.72,5.42,1530,10908.9,7.13,11722,55701.5,Q2,Sunday,4.751876813,Product2,Medium,Growth Year
16,2010-06-28,2010,Jun,6,2653,8410.01,3.17,1544,9788.96,6.34,3867,20959.14,5.42,652,4648.76,7.13,8716,43806.87,Q2,Monday,5.026029142,Product3,Medium,Growth Year
17,2010-06-29,2010,Jun,6,3664,11614.88,3.17,2294,14543.96,6.34,3244,17582.48,5.42,897,6395.61,7.13,10099,50136.93,Q2,Tuesday,4.964544014,Product3,Medium,Growth Year
18,2010-06-30,2010,Jun,6,7077,22434.09,3.17,2297,14562.98,6.34,5376,29137.92,5.42,1130,8056.9,7.13,15880,74191.89,Q2,Wednesday,4.672033375,Product3,High,Growth Year
19,2010-07-01,2010,Jul,7,3509,11123.53,3.17,700,4438,6.34,1175,6368.5,5.42,1205,8591.65,7.13,6589,30521.68,Q3,Thursday,4.632217332,Product1,Low,Growth Year
20,2010-07-02,2010,Jul,7,3716,11779.72,3.17,3175,20129.5,6.34,651,3528.42,5.42,1263,9005.19,7.13,8805,44442.83,Q3,Friday,5.047453719,Product2,Medium,Growth Year
21,2010-07-03,2010,Jul,7,7746,24554.82,3.17,2883,18278.22,6.34,671,3636.82,5.42,728,5190.64,7.13,12028,51660.5,Q3,Saturday,4.295019953,Product1,Medium,Growth Year
22,2010-07-04,2010,Jul,7,7006,22209.02,3.17,2833,17961.22,6.34,758,4108.36,5.42,1005,7165.65,7.13,11602,51444.25,Q3,Sunday,4.434084641,Product1,Medium,Growth Year
23,2010-07-05,2010,Jul,7,5223,16556.91,3.17,1923,12191.82,6.34,1583,8579.86,5.42,1877,13383.01,7.13,10606,50711.6,Q3,Monday,4.781406751,Product1,Medium,Growth Year
24,2010-07-06,2010,Jul,7,4753,15067.01,3.17,3125,19812.5,6.34,2787,15105.54,5.42,583,4156.79,7.13,11248,54141.84,Q3,Tuesday,4.813463727,Product2,Medium,Growth Year
25,2010-07-07,2010,Jul,7,3369,10679.73,3.17,752,4767.68,6.34,5913,32048.46,5.42,358,2552.54,7.13,10392,50048.41,Q3,Wednesday,4.816051771,Product3,Medium,Growth Year
26,2010-07-08,2010,Jul,7,6805,21571.85,3.17,758,4805.72,6.34,4499,24384.58,5.42,1740,12406.2,7.13,13802,63168.35,Q3,Thursday,4.576753369,Product3,Medium,Growth Year
27,2010-07-09,2010,Jul,7,7826,24808.42,3.17,2872,18208.48,6.34,3592,19468.64,5.42,328,2338.64,7.13,14618,64824.18,Q3,Friday,4.434545081,Product1,Medium,Growth Year
28,2010-07-10,2010,Jul,7,7450,23616.5,3.17,273,1730.82,6.34,4511,24449.62,5.42,505,3600.65,7.13,12739,53397.59,Q3,Saturday,4.191662611,Product3,Medium,Growth Year
29,2010-07-11,2010,Jul,7,5868,18601.56,3.17,1690,10714.6,6.34,1461,7918.62,5.42,391,2787.83,7.13,9410,40022.61,Q3,Sunday,4.253199787,Product1,Medium,Growth Year
30,2010-07-12,2010,Jul,7,5273,16715.41,3.17,1888,11969.92,6.34,5949,32243.58,5.42,1677,11957.01,7.13,14787,72885.92,Q3,Monday,4.929053899,Product3,High,Growth Year
31,2010-07-13,2010,Jul,7,1562,4951.54,3.17,1851,11735.34,6.34,3289,17826.38,5.42,1740,12406.2,7.13,8442,46919.46,Q3,Tuesday,5.557860697,Product3,Medium,Growth Year
32,2010-07-14,2010,Jul,7,378,1198.26,3.17,581,3683.54,6.34,2531,13718.02,5.42,446,3179.98,7.13,3936,21779.8,Q3,Wednesday,5.533485772,Product3,Low,Growth Year
33,2010-07-15,2010,Jul,7,3180,10080.6,3.17,438,2776.92,6.34,1327,7192.34,5.42,532,3793.16,7.13,5477,23843.02,Q3,Thursday,4.353299251,Product1,Low,Growth Year
34,2010-07-16,2010,Jul,7,2508,7950.36,3.17,1197,7588.98,6.34,1556,8433.52,5.42,1946,13874.98,7.13,7207,37847.84,Q3,Friday,5.251538782,Product4,Low,Growth Year
35,2010-07-17,2010,Jul,7,7257,23004.69,3.17,302,1914.68,6.34,4973,26953.66,5.42,1686,12021.18,7.13,14218,63894.21,Q3,Saturday,4.493895766,Product3,Medium,Growth Year
36,2010-07-18,2010,Jul,7,2527,8010.59,3.17,1347,8539.98,6.34,1626,8812.92,5.42,1724,12292.12,7.13,7224,37655.61,Q3,Sunday,5.212570598,Product4,Low,Growth Year
37,2010-07-19,2010,Jul,7,2581,8181.77,3.17,2489,15780.26,6.34,2607,14129.94,5.42,1692,12063.96,7.13,9369,50155.93,Q3,Monday,5.353392038,Product2,Medium,Growth Year
38,2010-07-20,2010,Jul,7,7694,24389.98,3.17,2975,18861.5,6.34,1278,6926.76,5.42,558,3978.54,7.13,12505,54156.78,Q3,Tuesday,4.330810076,Product1,Medium,Growth Year
39,2010-07-21,2010,Jul,7,3935,12473.95,3.17,2972,18842.48,6.34,5299,28720.58,5.42,1253,8933.89,7.13,13459,68970.9,Q3,Wednesday,5.124518909,Product3,Medium,Growth Year
40,2010-07-22,2010,Jul,7,2898,9186.66,3.17,532,3372.88,6.34,4664,25278.88,5.42,1667,11885.71,7.13,9761,49724.13,Q3,Thursday,5.094163508,Product3,Medium,Growth Year
41,2010-07-23,2010,Jul,7,7734,24516.78,3.17,1994,12641.96,6.34,2772,15024.24,5.42,271,1932.23,7.13,12771,54115.21,Q3,Friday,4.23735103,Product1,Medium,Growth Year
42,2010-07-24,2010,Jul,7,3052,9674.84,3.17,3935,24947.9,6.34,4623,25056.66,5.42,1653,11785.89,7.13,13263,71465.29,Q3,Saturday,5.388320139,Product3,High,Growth Year
43,2010-07-25,2010,Jul,7,3041,9639.97,3.17,811,5141.74,6.34,1973,10693.66,5.42,526,3750.38,7.13,6351,29225.75,Q3,Sunday,4.601755629,Product3,Low,Growth Year
44,2010-07-26,2010,Jul,7,1387,4396.79,3.17,2539,16097.26,6.34,1890,10243.8,5.42,1073,7650.49,7.13,6889,38388.34,Q3,Monday,5.57241109,Product2,Low,Growth Year
45,2010-07-27,2010,Jul,7,4536,14379.12,3.17,2131,13510.54,6.34,4185,22682.7,5.42,470,3351.1,7.13,11322,53923.46,Q3,Tuesday,4.762715068,Product3,Medium,Growth Year
46,2010-07-28,2010,Jul,7,7659,24279.03,3.17,734,4653.56,6.34,3981,21577.02,5.42,1121,7992.73,7.13,13495,58502.34,Q3,Wednesday,4.335112264,Product1,Medium,Growth Year
47,2010-07-29,2010,Jul,7,3144,9966.48,3.17,3855,24440.7,6.34,1856,10059.52,5.42,1873,13354.49,7.13,10728,57821.19,Q3,Thursday,5.389745526,Product2,Medium,Growth Year
48,2010-07-30,2010,Jul,7,6361,20164.37,3.17,1773,11240.82,6.34,3443,18661.06,5.42,287,2046.31,7.13,11864,52112.56,Q3,Friday,4.392494943,Product1,Medium,Growth Year
49,2010-07-31,2010,Jul,7,2733,8663.61,3.17,3985,25264.9,6.34,1341,7268.22,5.42,1428,10181.64,7.13,9487,51378.37,Q3,Saturday,5.415660377,Product2,Medium,Growth Year
50,2010-08-01,2010,Aug,8,2062,6536.54,3.17,3659,23198.06,6.34,2194,11891.48,5.42,803,5725.39,7.13,8718,47351.47,Q3,Sunday,5.431460197,Product2,Medium,Growth Year
51,2010-08-02,2010,Aug,8,1964,6225.88,3.17,908,5756.72,6.34,1608,8715.36,5.42,1231,8777.03,7.13,5711,29474.99,Q3,Monday,5.161090877,Product4,Low,Growth Year
52,2010-08-03,2010,Aug,8,3461,10971.37,3.17,3800,24092,6.34,3193,17306.06,5.42,1443,10288.59,7.13,11897,62658.02,Q3,Tuesday,5.266707573,Product2,Medium,Growth Year
53,2010-08-04,2010,Aug,8,2118,6714.06,3.17,3793,24047.62,6.34,4333,23484.86,5.42,1383,9860.79,7.13,11627,64107.33,Q3,Wednesday,5.513660446,Product2,Medium,Growth Year
54,2010-08-05,2010,Aug,8,6458,20471.86,3.17,3136,19882.24,6.34,566,3067.72,5.42,1135,8092.55,7.13,11295,51514.37,Q3,Thursday,4.560811864,Product1,Medium,Growth Year
55,2010-08-06,2010,Aug,8,957,3033.69,3.17,256,1623.04,6.34,1505,8157.1,5.42,1442,10281.46,7.13,4160,23095.29,Q3,Friday,5.551752404,Product4,Low,Growth Year
56,2010-08-07,2010,Aug,8,3595,11396.15,3.17,3855,24440.7,6.34,4211,22823.62,5.42,1767,12598.71,7.13,13428,71259.18,Q3,Saturday,5.3067605,Product2,High,Growth Year
57,2010-08-08,2010,Aug,8,1980,6276.6,3.17,1641,10403.94,6.34,3747,20308.74,5.42,1398,9967.74,7.13,8766,46957.02,Q3,Sunday,5.356721424,Product3,Medium,Growth Year
58,2010-08-09,2010,Aug,8,3589,11377.13,3.17,3037,19254.58,6.34,4366,23663.72,5.42,724,5162.12,7.13,11716,59457.55,Q3,Monday,5.074901844,Product3,Medium,Growth Year
59,2010-08-10,2010,Aug,8,2661,8435.37,3.17,1125,7132.5,6.34,2235,12113.7,5.42,281,2003.53,7.13,6302,29685.1,Q3,Tuesday,4.710425262,Product3,Low,Growth Year
60,2010-08-11,2010,Aug,8,5148,16319.16,3.17,2530,16040.2,6.34,5069,27473.98,5.42,748,5333.24,7.13,13495,65166.58,Q3,Wednesday,4.828942571,Product3,Medium,Growth Year
61,2010-08-12,2010,Aug,8,3272,10372.24,3.17,2734,17333.56,6.34,4940,26774.8,5.42,1137,8106.81,7.13,12083,62587.41,Q3,Thursday,5.179790615,Product3,Medium,Growth Year
62,2010-08-13,2010,Aug,8,5704,18081.68,3.17,808,5122.72,6.34,891,4829.22,5.42,994,7087.22,7.13,8397,35120.84,Q3,Friday,4.182546147,Product1,Low,Growth Year
63,2010-08-14,2010,Aug,8,3914,12407.38,3.17,2652,16813.68,6.34,920,4986.4,5.42,744,5304.72,7.13,8230,39512.18,Q3,Saturday,4.800993925,Product2,Low,Growth Year
64,2010-08-15,2010,Aug,8,3094,9807.98,3.17,2510,15913.4,6.34,303,1642.26,5.42,504,3593.52,7.13,6411,30957.16,Q3,Sunday,4.828756824,Product2,Low,Growth Year
65,2010-08-16,2010,Aug,8,4180,13250.6,3.17,3720,23584.8,6.34,1356,7349.52,5.42,781,5568.53,7.13,10037,49753.45,Q3,Monday,4.957004085,Product2,Medium,Growth Year
66,2010-08-17,2010,Aug,8,7024,22266.08,3.17,3160,20034.4,6.34,2743,14867.06,5.42,1168,8327.84,7.13,14095,65495.38,Q3,Tuesday,4.646710181,Product1,Medium,Growth Year
67,2010-08-18,2010,Aug,8,5187,16442.79,3.17,490,3106.6,6.34,5874,31837.08,5.42,1456,10381.28,7.13,13007,61767.75,Q3,Wednesday,4.748808334,Product3,Medium,Growth Year
68,2010-08-19,2010,Aug,8,570,1806.9,3.17,628,3981.52,6.34,4053,21967.26,5.42,1402,9996.26,7.13,6653,37751.94,Q3,Thursday,5.674423568,Product3,Low,Growth Year
69,2010-08-20,2010,Aug,8,2497,7915.49,3.17,3055,19368.7,6.34,5978,32400.76,5.42,1606,11450.78,7.13,13136,71135.73,Q3,Friday,5.415326583,Product3,High,Growth Year
70,2010-08-21,2010,Aug,8,419,1328.23,3.17,1278,8102.52,6.34,5544,30048.48,5.42,489,3486.57,7.13,7730,42965.8,Q3,Saturday,5.558318241,Product3,Medium,Growth Year
71,2010-08-22,2010,Aug,8,2592,8216.64,3.17,438,2776.92,6.34,3777,20471.34,5.42,1568,11179.84,7.13,8375,42644.74,Q3,Sunday,5.091909254,Product3,Medium,Growth Year
72,2010-08-23,2010,Aug,8,7712,24447.04,3.17,1739,11025.26,6.34,3940,21354.8,5.42,1041,7422.33,7.13,14432,64249.43,Q3,Monday,4.451872921,Product1,Medium,Growth Year
73,2010-08-24,2010,Aug,8,1076,3410.92,3.17,539,3417.26,6.34,2568,13918.56,5.42,668,4762.84,7.13,4851,25509.58,Q3,Tuesday,5.258622964,Product3,Low,Growth Year
74,2010-08-25,2010,Aug,8,2668,8457.56,3.17,1272,8064.48,6.34,4365,23658.3,5.42,1846,13161.98,7.13,10151,53342.32,Q3,Wednesday,5.254883263,Product3,Medium,Growth Year
75,2010-08-26,2010,Aug,8,1350,4279.5,3.17,2211,14017.74,6.34,1900,10298,5.42,602,4292.26,7.13,6063,32887.5,Q3,Thursday,5.424294904,Product2,Low,Growth Year
76,2010-08-27,2010,Aug,8,7841,24855.97,3.17,469,2973.46,6.34,4670,25311.4,5.42,938,6687.94,7.13,13918,59828.77,Q3,Friday,4.298661446,Product3,Medium,Growth Year
77,2010-08-28,2010,Aug,8,586,1857.62,3.17,3052,19349.68,6.34,4481,24287.02,5.42,1919,13682.47,7.13,10038,59176.79,Q3,Saturday,5.895276948,Product3,Medium,Growth Year
78,2010-08-29,2010,Aug,8,2003,6349.51,3.17,741,4697.94,6.34,4222,22883.24,5.42,1563,11144.19,7.13,8529,45074.88,Q3,Sunday,5.284896236,Product3,Medium,Growth Year
79,2010-08-31,2010,Aug,8,2564,8127.88,3.17,2772,17574.48,6.34,5371,29110.82,5.42,1819,12969.47,7.13,12526,67782.65,Q3,Tuesday,5.411356379,Product3,Medium,Growth Year
80,2010-09-01,2010,Sep,9,3532,11196.44,3.17,2223,14093.82,6.34,5959,32297.78,5.42,519,3700.47,7.13,12233,61288.51,Q3,Wednesday,5.01009646,Product3,Medium,Growth Year
81,2010-09-02,2010,Sep,9,519,1645.23,3.17,2119,13434.46,6.34,1349,7311.58,5.42,614,4377.82,7.13,4601,26769.09,Q3,Thursday,5.818102586,Product2,Low,Growth Year
82,2010-09-03,2010,Sep,9,2957,9373.69,3.17,1896,12020.64,6.34,2583,13999.86,5.42,1034,7372.42,7.13,8470,42766.61,Q3,Friday,5.049186541,Product3,Medium,Growth Year
83,2010-09-04,2010,Sep,9,5478,17365.26,3.17,3084,19552.56,6.34,5614,30427.88,5.42,717,5112.21,7.13,14893,72457.91,Q3,Saturday,4.86523266,Product3,High,Growth Year
84,2010-09-05,2010,Sep,9,5010,15881.7,3.17,2834,17967.56,6.34,359,1945.78,5.42,1417,10103.21,7.13,9620,45898.25,Q3,Sunday,4.771127859,Product2,Medium,Growth Year
85,2010-09-06,2010,Sep,9,3027,9595.59,3.17,2584,16382.56,6.34,4244,23002.48,5.42,1390,9910.7,7.13,11245,58891.33,Q3,Monday,5.237112494,Product3,Medium,Growth Year
86,2010-09-07,2010,Sep,9,867,2748.39,3.17,2795,17720.3,6.34,5645,30595.9,5.42,1641,11700.33,7.13,10948,62764.92,Q3,Tuesday,5.733003288,Product3,Medium,Growth Year
87,2010-09-08,2010,Sep,9,4198,13307.66,3.17,2352,14911.68,6.34,2762,14970.04,5.42,366,2609.58,7.13,9678,45798.96,Q3,Wednesday,4.732275263,Product3,Medium,Growth Year
88,2010-09-09,2010,Sep,9,2107,6679.19,3.17,3004,19045.36,6.34,5320,28834.4,5.42,1756,12520.28,7.13,12187,67079.23,Q3,Thursday,5.504162632,Product3,Medium,Growth Year
89,2010-09-10,2010,Sep,9,3807,12068.19,3.17,575,3645.5,6.34,3085,16720.7,5.42,1498,10680.74,7.13,8965,43115.13,Q3,Friday,4.809272727,Product3,Medium,Growth Year
90,2010-09-11,2010,Sep,9,1949,6178.33,3.17,1978,12540.52,6.34,4159,22541.78,5.42,950,6773.5,7.13,9036,48034.13,Q3,Saturday,5.315862107,Product3,Medium,Growth Year
91,2010-09-12,2010,Sep,9,2923,9265.91,3.17,2974,18855.16,6.34,784,4249.28,5.42,976,6958.88,7.13,7657,39329.23,Q3,Sunday,5.136375865,Product2,Low,Growth Year
92,2010-09-13,2010,Sep,9,2111,6691.87,3.17,1739,11025.26,6.34,1049,5685.58,5.42,1535,10944.55,7.13,6434,34347.26,Q3,Monday,5.33839913,Product2,Low,Growth Year
93,2010-09-14,2010,Sep,9,3179,10077.43,3.17,3646,23115.64,6.34,4008,21723.36,5.42,1088,7757.44,7.13,11921,62673.87,Q3,Tuesday,5.25743394,Product2,Medium,Growth Year
94,2010-09-15,2010,Sep,9,6653,21090.01,3.17,255,1616.7,6.34,554,3002.68,5.42,486,3465.18,7.13,7948,29174.57,Q3,Wednesday,3.670680674,Product1,Low,Growth Year
95,2010-09-16,2010,Sep,9,4008,12705.36,3.17,2164,13719.76,6.34,1959,10617.78,5.42,1189,8477.57,7.13,9320,45520.47,Q3,Thursday,4.884170601,Product2,Medium,Growth Year
96,2010-09-17,2010,Sep,9,6950,22031.5,3.17,2226,14112.84,6.34,5834,31620.28,5.42,1493,10645.09,7.13,16503,78409.71,Q3,Friday,4.751239775,Product3,High,Growth Year
97,2010-09-18,2010,Sep,9,1284,4070.28,3.17,1287,8159.58,6.34,3272,17734.24,5.42,1777,12670.01,7.13,7620,42634.11,Q3,Saturday,5.595027559,Product3,Medium,Growth Year
98,2010-09-19,2010,Sep,9,949,3008.33,3.17,550,3487,6.34,4564,24736.88,5.42,1850,13190.5,7.13,7913,44422.71,Q3,Sunday,5.613889802,Product3,Medium,Growth Year
99,2010-09-20,2010,Sep,9,5573,17666.41,3.17,2502,15862.68,6.34,4367,23669.14,5.42,384,2737.92,7.13,12826,59936.15,Q3,Monday,4.673019648,Product3,Medium,Growth Year
100,2010-09-21,2010,Sep,9,7043,22326.31,3.17,713,4520.42,6.34,532,2883.44,5.42,1209,8620.17,7.13,9497,38350.34,Q3,Tuesday,4.038153101,Product1,Low,Growth Year
101,2010-09-22,2010,Sep,9,4505,14280.85,3.17,3078,19514.52,6.34,2148,11642.16,5.42,800,5704,7.13,10531,51141.53,Q3,Wednesday,4.856284303,Product2,Medium,Growth Year
102,2010-09-23,2010,Sep,9,2073,6571.41,3.17,3807,24136.38,6.34,5311,28785.62,5.42,490,3493.7,7.13,11681,62987.11,Q3,Thursday,5.392270354,Product3,Medium,Growth Year
103,2010-09-24,2010,Sep,9,4845,15358.65,3.17,1556,9865.04,6.34,1016,5506.72,5.42,1511,10773.43,7.13,8928,41503.84,Q3,Friday,4.648727599,Product1,Medium,Growth Year
104,2010-09-25,2010,Sep,9,4094,12977.98,3.17,2181,13827.54,6.34,3800,20596,5.42,1805,12869.65,7.13,11880,60271.17,Q3,Saturday,5.073330808,Product3,Medium,Growth Year
105,2010-09-26,2010,Sep,9,3953,12531.01,3.17,1298,8229.32,6.34,3332,18059.44,5.42,1634,11650.42,7.13,10217,50470.19,Q3,Sunday,4.939824802,Product3,Medium,Growth Year
106,2010-09-27,2010,Sep,9,2596,8229.32,3.17,1820,11538.8,6.34,760,4119.2,5.42,1253,8933.89,7.13,6429,32821.21,Q3,Monday,5.10518121,Product2,Low,Growth Year
107,2010-09-28,2010,Sep,9,1068,3385.56,3.17,2055,13028.7,6.34,715,3875.3,5.42,1087,7750.31,7.13,4925,28039.87,Q3,Tuesday,5.693374619,Product2,Low,Growth Year
108,2010-09-29,2010,Sep,9,5110,16198.7,3.17,3370,21365.8,6.34,1228,6655.76,5.42,1871,13340.23,7.13,11579,57560.49,Q3,Wednesday,4.971110631,Product2,Medium,Growth Year
109,2010-09-30,2010,Sep,9,7642,24225.14,3.17,3158,20021.72,6.34,414,2243.88,5.42,656,4677.28,7.13,11870,51168.02,Q3,Thursday,4.310700927,Product1,Medium,Growth Year
110,2010-09-30,2010,Sep,9,4986,15805.62,3.17,342,2168.28,6.34,4978,26980.76,5.42,558,3978.54,7.13,10864,48933.2,Q3,Thursday,4.50416053,Product3,Medium,Growth Year
111,2010-09-30,2010,Sep,9,4632,14683.44,3.17,3930,24916.2,6.34,523,2834.66,5.42,1581,11272.53,7.13,10666,53706.83,Q3,Thursday,5.035330021,Product2,Medium,Growth Year
112,2010-09-30,2010,Sep,9,2242,7107.14,3.17,401,2542.34,6.34,5926,32118.92,5.42,789,5625.57,7.13,9358,47393.97,Q3,Thursday,5.0645405,Product3,Medium,Growth Year
113,2010-09-30,2010,Sep,9,325,1030.25,3.17,3476,22037.84,6.34,4588,24866.96,5.42,1771,12627.23,7.13,10160,60562.28,Q3,Thursday,5.960854331,Product3,Medium,Growth Year
114,2010-09-30,2010,Sep,9,1003,3179.51,3.17,256,1623.04,6.34,1346,7295.32,5.42,1449,10331.37,7.13,4054,22429.24,Q3,Thursday,5.532619635,Product4,Low,Growth Year
115,2010-09-30,2010,Sep,9,2509,7953.53,3.17,2666,16902.44,6.34,4146,22471.32,5.42,593,4228.09,7.13,9914,51555.38,Q3,Thursday,5.200260238,Product3,Medium,Growth Year
116,2010-09-30,2010,Sep,9,597,1892.49,3.17,709,4495.06,6.34,5470,29647.4,5.42,1994,14217.22,7.13,8770,50252.17,Q3,Thursday,5.730007982,Product3,Medium,Growth Year
117,2010-09-30,2010,Sep,9,7681,24348.77,3.17,1235,7829.9,6.34,347,1880.74,5.42,1087,7750.31,7.13,10350,41809.72,Q3,Thursday,4.039586473,Product1,Medium,Growth Year
118,2010-09-30,2010,Sep,9,5333,16905.61,3.17,833,5281.22,6.34,3494,18937.48,5.42,618,4406.34,7.13,10278,45530.65,Q3,Thursday,4.429913407,Product3,Medium,Growth Year
119,2010-09-30,2010,Sep,9,3870,12267.9,3.17,2779,17618.86,6.34,3246,17593.32,5.42,1290,9197.7,7.13,11185,56677.78,Q3,Thursday,5.067302637,Product2,Medium,Growth Year
120,2010-09-30,2010,Sep,9,3583,11358.11,3.17,2111,13383.74,6.34,4225,22899.5,5.42,1401,9989.13,7.13,11320,57630.48,Q3,Thursday,5.091031802,Product3,Medium,Growth Year
121,2010-09-30,2010,Sep,9,7516,23825.72,3.17,3423,21701.82,6.34,3116,16888.72,5.42,458,3265.54,7.13,14513,65681.8,Q3,Thursday,4.525721767,Product1,Medium,Growth Year
122,2010-09-30,2010,Sep,9,7891,25014.47,3.17,741,4697.94,6.34,2280,12357.6,5.42,1068,7614.84,7.13,11980,49684.85,Q3,Thursday,4.147316361,Product1,Medium,Growth Year
123,2010-09-30,2010,Sep,9,2457,7788.69,3.17,3144,19932.96,6.34,533,2888.86,5.42,1184,8441.92,7.13,7318,39052.43,Q3,Thursday,5.336489478,Product2,Low,Growth Year
124,2010-09-30,2010,Sep,9,3512,11133.04,3.17,2851,18075.34,6.34,4072,22070.24,5.42,1597,11386.61,7.13,12032,62665.23,Q3,Thursday,5.20821393,Product3,Medium,Growth Year
125,2010-09-30,2010,Sep,9,6094,19317.98,3.17,3798,24079.32,6.34,5849,31701.58,5.42,881,6281.53,7.13,16622,81380.41,Q3,Thursday,4.895945735,Product3,High,Growth Year
126,2010-09-30,2010,Sep,9,1727,5474.59,3.17,2645,16769.3,6.34,5715,30975.3,5.42,1295,9233.35,7.13,11382,62452.54,Q3,Thursday,5.486956598,Product3,Medium,Growth Year
127,2010-09-30,2010,Sep,9,7360,23331.2,3.17,2974,18855.16,6.34,2717,14726.14,5.42,1127,8035.51,7.13,14178,64948.01,Q3,Thursday,4.580900691,Product1,Medium,Growth Year
128,2010-09-30,2010,Sep,9,3195,10128.15,3.17,2525,16008.5,6.34,5918,32075.56,5.42,1003,7151.39,7.13,12641,65363.6,Q3,Thursday,5.170761807,Product3,Medium,Growth Year
129,2010-09-30,2010,Sep,9,2660,8432.2,3.17,2674,16953.16,6.34,2732,14807.44,5.42,934,6659.42,7.13,9000,46852.22,Q3,Thursday,5.205802222,Product2,Medium,Growth Year
130,2010-09-30,2010,Sep,9,4713,14940.21,3.17,1227,7779.18,6.34,4065,22032.3,5.42,403,2873.39,7.13,10408,47625.08,Q3,Thursday,4.575814758,Product3,Medium,Growth Year
131,2010-09-30,2010,Sep,9,870,2757.9,3.17,3463,21955.42,6.34,798,4325.16,5.42,851,6067.63,7.13,5982,35106.11,Q3,Thursday,5.868624206,Product2,Low,Growth Year
132,2010-09-30,2010,Sep,9,3511,11129.87,3.17,2609,16541.06,6.34,1543,8363.06,5.42,853,6081.89,7.13,8516,42115.88,Q3,Thursday,4.945500235,Product2,Medium,Growth Year
133,2010-09-30,2010,Sep,9,506,1604.02,3.17,3333,21131.22,6.34,3897,21121.74,5.42,574,4092.62,7.13,8310,47949.6,Q3,Thursday,5.770108303,Product2,Medium,Growth Year
134,2010-09-30,2010,Sep,9,6964,22075.88,3.17,1873,11874.82,6.34,5481,29707.02,5.42,1336,9525.68,7.13,15654,73183.4,Q3,Thursday,4.675060687,Product3,High,Growth Year
